R	Gamma	E
3.20	15	-115.835330150184
3.20	20	-115.835353018745
3.20	25	-115.835378320112
3.20	30	-115.835403975168
3.20	35	-115.835428262475
3.20	40	-115.835450003185
3.20	45	-115.835468649693
3.20	50	-115.835484266164
3.20	55	-115.835497448123
3.20	60	-115.83550919638
3.20	65	-115.835520776189
3.20	70	-115.835533586781
3.20	75	-115.835549040962
3.20	80	-115.835568454352
3.20	85	-115.835592926497
3.20	90	-115.835623197058
3.20	95	-115.835659449549
3.20	100	-115.835701044323
3.20	105	-115.835746200619
3.20	110	-115.835791703314
3.20	115	-115.835832730815
3.20	120	-115.835862779256
3.20	125	-115.835873363449
3.20	130	-115.835853216892
3.20	135	-115.835787626259
3.20	140	-115.835659823203
3.20	145	-115.835455606881
3.20	150	-115.835169532681
3.20	155	-115.834811269775
3.20	160	-115.834411707897
3.20	165	-115.834022712616
3.20	170	-115.833702518089
3.20	175	-115.833495653167
3.20	180	-115.833424710301
3.30	0	-115.835396875407
3.30	5	-115.835398986228
3.30	10	-115.835405063164
3.30	15	-115.835414390542
3.30	20	-115.835425923573
3.30	25	-115.835438472731
3.30	30	-115.835450905229
3.30	35	-115.835462316966
3.30	40	-115.835472151327
3.30	45	-115.835480252014
3.30	50	-115.835486857808
3.30	55	-115.835492542619
3.30	60	-115.83549813307
3.30	65	-115.835504613426
3.30	70	-115.835513035569
3.30	75	-115.835524440516
3.30	80	-115.835539789164
3.30	85	-115.835559896603
3.30	90	-115.835585352247
3.30	95	-115.835616407824
3.30	100	-115.835652816054
3.30	105	-115.835693616297
3.30	110	-115.835736924726
3.30	115	-115.835779831822
3.30	120	-115.835818446681
3.30	125	-115.835847921531
3.30	130	-115.83586207797
3.30	135	-115.835852708081
3.30	140	-115.83580983843
3.30	145	-115.83572450237
3.30	150	-115.835593186633
3.30	155	-115.835421223531
3.30	160	-115.835224582219
3.30	165	-115.835029747133
3.30	170	-115.834867748537
3.30	175	-115.834762990204
3.30	180	-115.834727183946
3.40	0	-115.835441623315
3.40	5	-115.835442535998
3.40	10	-115.835445141511
3.40	15	-115.835449068874
3.40	20	-115.835453779835
3.40	25	-115.835458674348
3.40	30	-115.835463203678
3.40	35	-115.83546697071
3.40	40	-115.835469802779
3.40	45	-115.835471778156
3.40	50	-115.835473220197
3.40	55	-115.835474656978
3.40	60	-115.835476762974
3.40	65	-115.835480294967
3.40	70	-115.835486033583
3.40	75	-115.83549473479
3.40	80	-115.835507091884
3.40	85	-115.835523701994
3.40	90	-115.835545032516
3.40	95	-115.835571365562
3.40	100	-115.83560271003
3.40	105	-115.835638669531
3.40	110	-115.835678300787
3.40	115	-115.835720034033
3.40	120	-115.835761747368
3.40	125	-115.83580093316
3.40	130	-115.835834646719
3.40	135	-115.835858997177
3.40	140	-115.83586878169
3.40	145	-115.835858678706
3.40	150	-115.835826193454
3.40	155	-115.835773971563
3.40	160	-115.835709619538
3.40	165	-115.835644139559
3.40	170	-115.835589443145
3.40	175	-115.835554407767
3.40	180	-115.835542576952
3.50	0	-115.835452831485
3.50	5	-115.835453050361
3.50	10	-115.835453649248
3.50	15	-115.835454462159
3.50	20	-115.835455255769
3.50	25	-115.835455784329
3.50	30	-115.835455851034
3.50	35	-115.835455363043
3.50	40	-115.83545436857
3.50	45	-115.83545307077
3.50	50	-115.835451816933
3.50	55	-115.835451070135
3.50	60	-115.835451368444
3.50	65	-115.835453284493
3.50	70	-115.83545738866
3.50	75	-115.835464223071
3.50	80	-115.835474283019
3.50	85	-115.835488008035
3.50	90	-115.835505771367
3.50	95	-115.835527865214
3.50	100	-115.835554460305
3.50	105	-115.835585539419
3.50	110	-115.835620805741
3.50	115	-115.835659626718
3.50	120	-115.835701087274
3.50	125	-115.835744176572
3.50	130	-115.835787911353
3.50	135	-115.835831080614
3.50	140	-115.835871687572
3.50	145	-115.835907041353
3.50	150	-115.835935260775
3.50	155	-115.835956922991
3.50	160	-115.835974602235
3.50	165	-115.835990586441
3.50	170	-115.836005118672
3.50	175	-115.836016080894
3.50	180	-115.836020271652
3.60	0	-115.835445242598
3.60	5	-115.835445088666
3.60	10	-115.835444611358
3.60	15	-115.835443764045
3.60	20	-115.835442490173
3.60	25	-115.835440748806
3.60	30	-115.835438544765
3.60	35	-115.835435953628
3.60	40	-115.835433138505
3.60	45	-115.835430352184
3.60	50	-115.835427925609
3.60	55	-115.835426247451
3.60	60	-115.835425737047
3.60	65	-115.835426819748
3.60	70	-115.835429907454
3.60	75	-115.835435385274
3.60	80	-115.835443608804
3.60	85	-115.835454905086
3.60	90	-115.835469579988
3.60	95	-115.835487922224
3.60	100	-115.835510199467
3.60	105	-115.835536634502
3.60	110	-115.835567361912
3.60	115	-115.835602389838
3.60	120	-115.835641630401
3.60	125	-115.835685037694
3.60	130	-115.835732780811
3.60	135	-115.835785174918
3.60	140	-115.83584219444
3.60	145	-115.835902994034
3.60	150	-115.835966230836
3.60	155	-115.836030943476
3.60	160	-115.83609629896
3.60	165	-115.836159624698
3.60	170	-115.836214812086
3.60	175	-115.836253249358
3.60	180	-115.836267124538
3.70	0	-115.835428327405
3.70	5	-115.835428000178
3.70	10	-115.835427025663
3.70	15	-115.835425422759
3.70	20	-115.835423230457
3.70	25	-115.835420517433
3.70	30	-115.835417392276
3.70	35	-115.835414011572
3.70	40	-115.835410583903
3.70	45	-115.83540736422
3.70	50	-115.835404645259
3.70	55	-115.835402740702
3.70	60	-115.835401971031
3.70	65	-115.835402647638
3.70	70	-115.83540506576
3.70	75	-115.835409500493
3.70	80	-115.835416210106
3.70	85	-115.835425445199
3.70	90	-115.835437461321
3.70	95	-115.835452537224
3.70	100	-115.835470988574
3.70	105	-115.835493178375
3.70	110	-115.83551950957
3.70	115	-115.835550412667
3.70	120	-115.835586356974
3.70	125	-115.835627930133
3.70	130	-115.835675972167
3.70	135	-115.835731586143
3.70	140	-115.83579580183
3.70	145	-115.835868926035
3.70	150	-115.835950126203
3.70	155	-115.836037513236
3.70	160	-115.836127944965
3.70	165	-115.83621577013
3.70	170	-115.83629171484
3.70	175	-115.836344127112
3.70	180	-115.836362936618
3.80	0	-115.835407992338
3.80	5	-115.83540761067
3.80	10	-115.835406484613
3.80	15	-115.835404663719
3.80	20	-115.835402232247
3.80	25	-115.835399308184
3.80	30	-115.835396042632
3.80	35	-115.835392618872
3.80	40	-115.835389247677
3.80	45	-115.835386161488
3.80	50	-115.835383604869
3.80	55	-115.835381824588
3.80	60	-115.835381060755
3.80	65	-115.835381541094
3.80	70	-115.83538347778
3.80	75	-115.835387070422
3.80	80	-115.835392511973
3.80	85	-115.835400000141
3.80	90	-115.835409753972
3.80	95	-115.835422034493
3.80	100	-115.835437172972
3.80	105	-115.835455598521
3.80	110	-115.835477863278
3.80	115	-115.835504653788
3.80	120	-115.835536800012
3.80	125	-115.835575305338
3.80	130	-115.835621405248
3.80	135	-115.83567657577
3.80	140	-115.835742296116
3.80	145	-115.835819449384
3.80	150	-115.835907583123
3.80	155	-115.836004410545
3.80	160	-115.836105436397
3.80	165	-115.836203288961
3.80	170	-115.836287286144
3.80	175	-115.83634486735
3.80	180	-115.836365454958
