R,a1,a2,a3,E
4.2,90,0,90,-76.97792925
4.2,0,0,90,-76.97792925
4.2,60,0,90,-76.97792912
4.0,0,30,90,-76.97792872
4.2,30,0,90,-76.97792787
4.1,30,90,30,-76.97792779
4.1,30,90,150,-76.97792779
3.4,30,60,30,-76.97792756
4.1,60,30,60,-76.97792571
3.5,0,90,150,-76.97792478
3.5,0,90,30,-76.97792478
4.2,0,30,60,-76.97792353
4.0,90,60,150,-76.97792329
4.0,90,60,30,-76.97792329
4.1,0,90,150,-76.97792256
4.1,0,90,30,-76.97792256
3.3,60,30,90,-76.97791956
3.9,60,60,60,-76.97791869
4.0,30,30,30,-76.97791826
4.2,30,30,60,-76.97791735
3.7,30,30,30,-76.97791551
4.1,90,30,90,-76.97791491
3.6,90,60,150,-76.97791441
3.6,90,60,30,-76.97791441
4.0,90,30,60,-76.97791405
3.5,60,60,60,-76.97791381
4.2,60,60,30,-76.97791372
4.1,30,0,60,-76.97791359
4.1,60,0,60,-76.97791359
4.1,90,0,60,-76.9779135
4.1,0,0,60,-76.9779135
3.2,60,0,90,-76.97791337
3.2,0,0,90,-76.97791335
3.2,90,0,90,-76.97791335
4.0,90,30,120,-76.97791282
4.1,30,0,120,-76.97791237
4.1,60,0,120,-76.97791237
4.1,90,0,120,-76.97791227
4.1,0,0,120,-76.97791227
3.2,30,0,90,-76.97791213
4.2,90,90,30,-76.97791202
4.2,90,90,150,-76.97791202
4.3,0,60,30,-76.97791148
3.5,90,30,60,-76.97791146
3.3,0,30,60,-76.97791141
4.0,0,60,60,-76.97791140000001
4.1,60,30,90,-76.97791121
4.1,0,30,30,-76.97791028
3.5,90,30,120,-76.97791028
4.0,30,60,60,-76.97790941
4.2,0,60,0,-76.97790914
4.2,60,60,180,-76.97790914
4.2,90,60,0,-76.97790914
4.2,0,60,180,-76.97790914
4.2,30,60,180,-76.97790914
4.2,90,60,180,-76.97790914
4.2,30,60,0,-76.97790914
4.2,60,60,0,-76.97790914
4.2,60,90,30,-76.97790861
4.2,60,90,150,-76.97790861
4.4,30,90,180,-76.97790663
4.4,90,90,180,-76.97790663
4.4,0,90,0,-76.97790663
4.4,30,90,0,-76.97790663
4.4,90,90,0,-76.97790663
4.4,0,90,180,-76.97790663
4.4,60,90,0,-76.97790663
4.4,60,90,180,-76.97790663
4.3,30,60,30,-76.97790597
4.1,90,60,150,-76.97790395
4.1,90,60,30,-76.97790395
4.1,30,30,90,-76.97790345
4.1,0,30,90,-76.9779015
4.2,30,90,150,-76.97790052
4.2,30,90,30,-76.97790052
4.1,30,30,30,-76.97790025
3.4,90,90,30,-76.97789899
3.4,90,90,150,-76.97789899
4.2,60,30,60,-76.97789825
4.0,60,60,60,-76.97789824
3.3,30,30,90,-76.97789794
4.3,0,0,90,-76.97789784
4.3,90,0,90,-76.97789784
4.3,60,0,90,-76.97789771
4.3,30,0,90,-76.97789641
4.2,0,90,30,-76.97789584
4.2,0,90,150,-76.97789584
3.6,0,30,30,-76.97789524
4.3,0,30,60,-76.97789455
3.7,90,60,60,-76.97789455
3.8,90,60,60,-76.97789409
3.7,90,60,120,-76.97789329999999
3.8,90,60,120,-76.97789283
3.9,60,30,30,-76.9778914
4.1,90,30,60,-76.97789112
3.3,30,90,0,-76.97789096
3.3,0,90,0,-76.97789096
3.3,30,90,180,-76.97789096
3.3,90,90,0,-76.97789096
3.3,60,90,180,-76.97789096
3.3,90,90,180,-76.97789096
3.3,0,90,180,-76.97789096
3.3,60,90,0,-76.97789096
3.3,30,30,60,-76.97789078
4.1,90,30,120,-76.97788988
3.3,0,30,90,-76.97788922
4.3,30,30,60,-76.97788904
3.8,60,30,120,-76.97788893
4.1,0,60,60,-76.97788829
4.2,0,30,30,-76.97788804
3.4,0,60,60,-76.97788784
4.2,30,0,60,-76.97788765
4.2,60,0,60,-76.97788765
4.2,90,0,60,-76.97788755
4.2,0,0,60,-76.97788755
4.3,60,60,30,-76.97788711
4.2,90,30,90,-76.97788701
3.8,60,30,30,-76.97788698
3.4,60,90,30,-76.97788668
3.4,60,90,150,-76.97788668
4.1,30,60,60,-76.97788652
4.2,60,0,120,-76.97788642
4.2,30,0,120,-76.97788642
4.2,0,0,120,-76.97788632
4.2,90,0,120,-76.97788632
3.7,60,30,120,-76.9778863
3.6,90,60,60,-76.97788517
4.3,90,90,150,-76.97788501
4.3,90,90,30,-76.97788501
3.5,0,60,0,-76.9778849
3.5,30,60,180,-76.9778849
3.5,90,60,180,-76.9778849
3.5,30,60,0,-76.9778849
3.5,90,60,0,-76.9778849
3.5,0,60,180,-76.9778849
3.5,60,60,0,-76.9778849
3.5,60,60,180,-76.9778849
3.4,30,60,60,-76.97788436
4.3,90,60,180,-76.97788417
4.3,0,60,0,-76.97788417
4.3,30,60,0,-76.97788417
4.3,60,60,0,-76.97788417
4.3,60,60,180,-76.97788417
4.3,90,60,0,-76.97788417
4.3,30,60,180,-76.97788417
4.3,0,60,180,-76.97788417
3.6,90,60,120,-76.97788393
4.0,60,30,30,-76.97788386
4.2,60,30,90,-76.97788375
4.4,0,60,30,-76.97788369
3.9,90,60,60,-76.97788314
3.9,90,60,120,-76.97788188
3.9,60,30,120,-76.97788117
4.3,60,90,30,-76.97788109
4.3,60,90,150,-76.97788109
3.9,60,60,150,-76.97788057
4.2,90,60,150,-76.97787953
4.2,90,60,30,-76.97787953
4.2,30,30,30,-76.97787926
4.4,30,60,30,-76.97787877
3.8,60,60,150,-76.97787831
4.5,30,90,0,-76.97787783
4.5,0,90,0,-76.97787783
4.5,60,90,180,-76.97787783
4.5,0,90,180,-76.97787783
4.5,60,90,0,-76.97787783
4.5,30,90,180,-76.97787783
4.5,90,90,0,-76.97787783
4.5,90,90,180,-76.97787783
3.7,90,60,90,-76.97787766
4.2,30,30,90,-76.97787674
3.6,30,30,30,-76.97787584
4.1,60,60,60,-76.97787574
4.2,0,30,90,-76.97787518
4.3,30,90,150,-76.97787493
4.3,30,90,30,-76.97787493
3.6,90,60,90,-76.97787479
4.3,60,30,60,-76.97787198
4.0,60,60,150,-76.97787191
3.4,60,60,30,-76.97787165
3.4,30,0,60,-76.97787152
3.4,60,0,60,-76.97787152
3.4,0,0,60,-76.97787146
3.4,90,0,60,-76.97787146
3.4,60,0,120,-76.97787091
3.4,30,0,120,-76.97787091
3.4,90,0,120,-76.97787085
3.4,0,0,120,-76.97787085
4.3,0,90,150,-76.97787074
4.3,0,90,30,-76.97787074
3.7,90,90,60,-76.97787058
3.8,90,60,90,-76.97787032
4.1,60,30,30,-76.97787015
4.4,90,0,90,-76.97786975
4.4,0,0,90,-76.97786975
4.4,60,0,90,-76.97786962
3.7,90,90,120,-76.97786932
3.8,90,90,60,-76.97786916
4.4,30,0,90,-76.97786837
3.8,90,90,120,-76.97786789
4.4,0,30,60,-76.97786769
4.2,90,30,60,-76.97786759
4.0,60,30,120,-76.97786738
4.0,90,60,60,-76.97786682
4.2,90,30,120,-76.97786636
3.6,60,30,120,-76.97786576
4.0,90,60,120,-76.97786556
4.2,0,60,60,-76.97786479
3.7,60,30,30,-76.97786473
4.3,0,30,30,-76.97786406
