R	Gamma	E
4.50	50	-4.847028
4.50	55	-4.719543
4.50	60	-4.641056
4.50	65	-4.621732
4.50	70	-4.672037
4.50	75	-4.803112
4.50	80	-5.027171
4.50	85	-5.358177
4.50	90	-5.812711
4.50	95	-6.411916
4.50	100	-7.185099
4.50	105	-8.176385
4.50	110	-9.455342
4.50	115	-11.13173
4.50	120	-13.371425
4.50	125	-16.407129
4.50	130	-20.533134
4.50	135	-26.072722
4.50	140	-33.312036
4.50	145	-42.40431
4.50	150	-53.263467
4.50	155	-65.470955
4.50	160	-78.225431
4.50	165	-90.366373
4.50	170	-100.504184
4.50	175	-107.272341
4.50	180	-109.654354
4.60	0	-5.280365
4.60	5	-5.257598
4.60	10	-5.191068
4.60	15	-5.084609
4.60	20	-4.944428
4.60	25	-4.778475
4.60	30	-4.595856
4.60	35	-4.406279
4.60	40	-4.219612
4.60	45	-4.045571
4.60	50	-3.893592
4.60	55	-3.772806
4.60	60	-3.692186
4.60	65	-3.660711
4.60	70	-3.687634
4.60	75	-3.78278
4.60	80	-3.956885
4.60	85	-4.222019
4.60	90	-4.592314
4.60	95	-5.085371
4.60	100	-5.725121
4.60	105	-6.547186
4.60	110	-7.607875
4.60	115	-8.997119
4.60	120	-10.853513
4.60	125	-13.375925
4.60	130	-16.822183
4.60	135	-21.483499
4.60	140	-27.626424
4.60	145	-35.404554
4.60	150	-44.75649
4.60	155	-55.31748
4.60	160	-66.37641
4.60	165	-76.906476
4.60	170	-85.691617
4.60	175	-91.549694
4.60	180	-93.609858
4.70	0	-4.347739
4.70	5	-4.327872
4.70	10	-4.269794
4.70	15	-4.176603
4.70	20	-4.053431
4.70	25	-3.906849
4.70	30	-3.744492
4.70	35	-3.57455
4.70	40	-3.405472
4.70	45	-3.245695
4.70	50	-3.103489
4.70	55	-2.986954
4.70	60	-2.904081
4.70	65	-2.862882
4.70	70	-2.871628
4.70	75	-2.939014
4.70	80	-3.074469
4.70	85	-3.288465
4.70	90	-3.59307
4.70	95	-4.00297
4.70	100	-4.537647
4.70	105	-5.225575
4.70	110	-6.111615
4.70	115	-7.267959
4.70	120	-8.807709
4.70	125	-10.896444
4.70	130	-13.754131
4.70	135	-17.636006
4.70	140	-22.784063
4.70	145	-29.348649
4.70	150	-37.293784
4.70	155	-46.313321
4.70	160	-55.790893
4.70	165	-64.830447
4.70	170	-72.374936
4.70	175	-77.404203
4.70	180	-79.172321
4.80	0	-3.582942
4.80	5	-3.565151
4.80	10	-3.513143
4.80	15	-3.429499
4.80	20	-3.318554
4.80	25	-3.185942
4.80	30	-3.038194
4.80	35	-2.882452
4.80	40	-2.726141
4.80	45	-2.576735
4.80	50	-2.441659
4.80	55	-2.328195
4.80	60	-2.243561
4.80	65	-2.194988
4.80	70	-2.189872
4.80	75	-2.235966
4.80	80	-2.341557
4.80	85	-2.515764
4.80	90	-2.768927
4.80	95	-3.113332
4.80	100	-3.564875
4.80	105	-4.146211
4.80	110	-4.892609
4.80	115	-5.861028
4.80	120	-7.141702
4.80	125	-8.869344
4.80	130	-11.226825
4.80	135	-14.431936
4.80	140	-18.698423
4.80	145	-24.168579
4.80	150	-30.828568
4.80	155	-38.430166
4.80	160	-46.451171
4.80	165	-54.122608
4.80	170	-60.534475
4.80	175	-64.811144
4.80	180	-66.314993
4.90	0	-2.944813
4.90	5	-2.928567
4.90	10	-2.881042
4.90	15	-2.804477
4.90	20	-2.702648
4.90	25	-2.580479
4.90	30	-2.44374
4.90	35	-2.298793
4.90	40	-2.152293
4.90	45	-2.011008
4.90	50	-1.881667
4.90	55	-1.770929
4.90	60	-1.685371
4.90	65	-1.631541
4.90	70	-1.616106
4.90	75	-1.645979
4.90	80	-1.728487
4.90	85	-1.87159
4.90	90	-2.084173
4.90	95	-2.376605
4.90	100	-2.761883
4.90	105	-3.258024
4.90	110	-3.892544
4.90	115	-4.709628
4.90	120	-5.779911
4.90	125	-7.210483
4.90	130	-9.149737
4.90	135	-11.778798
4.90	140	-15.281078
4.90	145	-19.786562
4.90	150	-25.298097
4.90	155	-31.620192
4.90	160	-38.320418
4.90	165	-44.750036
4.90	170	-50.135862
4.90	175	-53.73265
4.90	180	-54.998021
5.00	0	-2.403199
5.00	5	-2.388152
5.00	10	-2.344128
5.00	15	-2.273111
5.00	20	-2.178457
5.00	25	-2.064581
5.00	30	-1.936682
5.00	35	-1.800526
5.00	40	-1.662174
5.00	45	-1.527818
5.00	50	-1.403655
5.00	55	-1.295791
5.00	60	-1.210251
5.00	65	-1.153022
5.00	70	-1.13012
5.00	75	-1.147741
5.00	80	-1.21237
5.00	85	-1.330995
5.00	90	-1.511295
5.00	95	-1.762071
5.00	100	-2.094026
5.00	105	-2.521547
5.00	110	-3.065946
5.00	115	-3.761098
5.00	120	-4.661295
5.00	125	-5.849861
5.00	130	-7.444393
5.00	135	-9.591696
5.00	140	-12.444903
5.00	145	-16.118444
5.00	150	-20.625827
5.00	155	-25.816984
5.00	160	-31.341075
5.00	165	-36.660477
5.00	170	-41.127705
5.00	175	-44.115962
5.00	180	-45.168018
5.10	0	-1.936372
5.10	5	-1.922319
5.10	10	-1.881213
5.10	15	-1.814832
5.10	20	-1.726227
5.10	25	-1.619402
5.10	30	-1.499121
5.10	35	-1.370666
5.10	40	-1.23961
5.10	45	-1.111684
5.10	50	-0.992602
5.10	55	-0.888009
5.10	60	-0.803443
5.10	65	-0.744386
5.10	70	-0.716299
5.10	75	-0.724744
5.10	80	-0.775505
5.10	85	-0.87472
5.10	90	-1.02908
5.10	95	-1.246094
5.10	100	-1.53467
5.10	105	-1.906344
5.10	110	-2.377627
5.10	115	-2.974218
5.10	120	-3.737165
5.10	125	-4.730008
5.10	130	-6.043783
5.10	135	-7.794566
5.10	140	-10.106648
5.10	145	-13.077238
