E (cm-1),0->2	,E (cm-1),0->4	,E (cm-1),2->4	,E (cm-1),4->6	
21.9,3.36707,,,,,,
21.95,3.34997,,,,,,
22.0,3.33353,,,,,,
22.05,3.31781,,,,,,
22.1,3.30287,,,,,,
22.15,3.28876,,,,,,
22.2,3.27551,,,,,,
22.25,3.26317,,,,,,
22.3,3.25177,,,,,,
22.35,3.24132,,,,,,
22.4,3.23184,,,,,,
22.45,3.22335,,,,,,
22.5,3.21585,,,,,,
22.55,3.20934,,,,,,
22.6,3.20383,,,,,,
22.65,3.19929,,,,,,
22.7,3.19573,,,,,,
22.75,3.19312,,,,,,
22.8,3.19144,,,,,,
22.85,3.19067,,,,,,
22.9,3.19078,,,,,,
22.95,3.19175,,,,,,
23.0,3.19354,,,,,,
23.05,3.19611,,,,,,
23.1,3.19942,,,,,,
23.15,3.20345,,,,,,
23.2,3.20813,,,,,,
23.25,3.21344,,,,,,
23.3,3.21931,,,,,,
23.35,3.22571,,,,,,
23.4,3.23259,,,,,,
23.45,3.23989,,,,,,
23.5,3.24758,,,,,,
23.55,3.25558,,,,,,
23.6,3.26387,,,,,,
23.65,3.27237,,,,,,
23.7,3.28105,,,,,,
23.75,3.28985,,,,,,
23.8,3.29873,,,,,,
23.85,3.30763,,,,,,
23.9,3.31651,,,,,,
23.95,3.32532,,,,,,
24.0,3.33402,,,,,,
24.05,3.34257,,,,,,
24.1,3.35092,,,,,,
24.15,3.35905,,,,,,
24.2,3.3669,,,,,,
24.25,3.37445,,,,,,
24.3,3.38168,,,,,,
24.35,3.38854,,,,,,
24.4,3.39502,,,,,,
24.45,3.4011,,,,,,
24.5,3.40675,,,,,,
24.55,3.41196,,,,,,
24.6,3.41671,,,,,,
24.65,3.421,,,,,,
24.7,3.42482,,,,,,
24.75,3.42816,,,,,,
24.8,3.43102,,,,,,
24.85,3.4334,,,,,,
24.9,3.43531,,,,,,
24.95,3.43674,,,,,,
25.0,3.43772,,,,,,
25.05,3.43824,,,,,,
25.1,3.43832,,,,,,
25.15,3.43798,,,,,,
25.2,3.43722,,,,,,
25.25,3.43607,,,,,,
25.3,3.43455,,,,,,
25.35,3.43267,,,,,,
25.4,3.43045,,,,,,
25.45,3.42792,,,,,,
25.5,3.4251,,,,,,
25.55,3.42201,,,,,,
25.6,3.41868,,,,,,
25.65,3.41512,,,,,,
25.7,3.41137,,,,,,
25.75,3.40743,,,,,,
25.8,3.40335,,,,,,
25.85,3.39915,,,,,,
25.9,3.39484,,,,,,
25.95,3.39044,,,,,,
26.0,3.38599,,,,,,
26.05,3.3815,,,,,,
26.1,3.377,,,,,,
26.15,3.37249,,,,,,
26.2,3.36802,,,,,,
26.25,3.36358,,,,,,
26.3,3.35921,,,,,,
26.35,3.35491,,,,,,
26.4,3.35071,,,,,,
26.45,3.34662,,,,,,
26.5,3.34265,,,,,,
26.55,3.33882,,,,,,
26.6,3.33513,,,,,,
26.65,3.33161,,,,,,
26.7,3.32826,,,,,,
26.75,3.32508,,,,,,
26.8,3.3221,,,,,,
26.85,3.31931,,,,,,
26.9,3.31672,,,,,,
26.95,3.31434,,,,,,
27.0,3.31217,,,,,,
27.05,3.31021,,,,,,
27.1,3.30847,,,,,,
27.15,3.30695,,,,,,
27.2,3.30565,,,,,,
27.25,3.30457,,,,,,
27.3,3.3037,,,,,,
27.35,3.30306,,,,,,
27.4,3.30263,,,,,,
27.45,3.30241,,,,,,
27.5,3.3024,,,,,,
27.55,3.30259,,,,,,
27.6,3.30299,,,,,,
27.65,3.30357,,,,,,
27.7,3.30435,,,,,,
27.75,3.30531,,,,,,
27.8,3.30644,,,,,,
27.85,3.30774,,,,,,
27.9,3.3092,,,,,,
27.95,3.31081,,,,,,
28.0,3.31257,,,,,,
28.05,3.31447,,,,,,
28.1,3.31649,,,,,,
28.15,3.31863,,,,,,
28.2,3.32088,,,,,,
28.25,3.32323,,,,,,
28.3,3.32568,,,,,,
28.35,3.32821,,,,,,
28.4,3.33081,,,,,,
28.45,3.33348,,,,,,
28.5,3.33621,,,,,,
28.55,3.33898,,,,,,
28.6,3.3418,,,,,,
28.65,3.34464,,,,,,
28.7,3.34752,,,,,,
28.75,3.3504,,,,,,
28.8,3.3533,,,,,,
28.85,3.3562,,,,,,
28.9,3.35909,,,,,,
28.95,3.36197,,,,,,
29.0,3.36483,,,,,,
29.05,3.36766,,,,,,
29.1,3.37047,,,,,,
29.15,3.37324,,,,,,
29.2,3.37596,,,,,,
29.25,3.37865,,,,,,
29.3,3.38128,,,,,,
29.35,3.38387,,,,,,
29.4,3.38639,,,,,,
29.45,3.38886,,,,,,
29.5,3.39127,,,,,,
29.55,3.39361,,,,,,
29.6,3.39589,,,,,,
29.65,3.3981,,,,,,
29.7,3.40024,,,,,,
29.75,3.40231,,,,,,
29.8,3.40432,,,,,,
29.85,3.40626,,,,,,
29.9,3.40813,,,,,,
29.95,3.40994,,,,,,
30.0,3.41168,,,,,,
30.0,3.41168,,,,,,
30.1,3.41496,,,,,,
30.2,3.41801,,,,,,
30.3,3.42083,,,,,,
30.4,3.42346,,,,,,
30.5,3.42591,,,,,,
30.6,3.42822,,,,,,
30.7,3.43042,,,,,,
30.8,3.43255,,,,,,
30.9,3.43463,,,,,,
31.0,3.43672,,,,,,
31.1,3.43884,,,,,,
31.2,3.44105,,,,,,
31.3,3.44338,,,,,,
31.4,3.44589,,,,,,
31.5,3.44863,,,,,,
31.6,3.45165,,,,,,
31.7,3.45501,,,,,,
31.8,3.45879,,,,,,
31.9,3.46309,,,,,,
32.0,3.46801,,,,,,
32.1,3.47372,,,,,,
32.2,3.48044,,,,,,
32.3,3.48852,,,,,,
32.4,3.49853,,,,,,
32.5,3.51153,,,,,,
32.6,3.52978,,,,,,
32.7,3.55931,,,,,,
32.8,3.62209,,,,,,
32.9,3.61895,,,,,,
33.0,3.48247,,,,,,
33.1,3.55275,,,,,,
33.2,3.65206,,,,,,
33.3,3.65157,,,,,,
33.4,3.34788,,,,,,
33.5,3.37364,,,,,,
33.6,3.42088,,,,,,
33.7,3.45481,,,,,,
33.8,3.48416,,,,,,
33.9,3.51461,,,,,,
34.0,3.55243,,,,,,
34.1,3.60718,,,,,,
34.2,3.63573,,,,,,
34.3,3.61547,,,,,,
34.4,3.40543,,,,,,
34.5,3.45667,,,,,,
34.6,3.59951,,,,,,
34.7,3.35754,,,,,,
34.8,3.43602,,,,,,
34.9,3.47088,,,,,,
35.0,3.49534,,,,,,
35.1,3.51654,,,,,,
35.2,3.53745,,,,,,
35.3,3.56054,,,,,,
35.4,3.58921,,,,,,
35.5,3.62893,,,,,,
35.6,3.65888,,,,,,
35.7,3.57266,,,,,,
35.8,3.81431,,,,,,
35.9,3.67701,,,,,,
36.0,3.42131,,,,,,
36.1,3.64434,,,,,,
36.2,3.40606,,,,,,
36.3,3.47924,,,,,,
36.4,3.51161,,,,,,
36.5,3.53316,,,,,,
36.6,3.55019,,,,,,
36.7,3.56488,,,,,,
36.8,3.57841,,,,,,
36.9,3.59166,,,,,,
37.0,3.60549,,,,,,
37.1,3.62095,,,,,,
37.2,3.63945,,,,,,
37.3,3.661,,,,,,
37.4,3.65568,,,,,,
37.5,3.6118,,,,,,
37.6,3.61091,,,,,,
37.7,3.53462,,,,,,
37.8,3.53427,,,,,,
37.9,3.49899,,,,,,
38.0,3.50528,,,,,,
