   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
   12.25000000          0      1     13      1    2          12.4468      
   12.25000000          0      1     13      2    2          383.716      
   12.30000000          0      1     13      1    1          259.050      
   12.30000000          0      1     13      2    1          3.97391      
   12.30000000          0      1     13      1    2          7.08700      
   12.30000000          0      1     13      2    2          390.085      
   12.35000000          0      1     13      1    1          261.201      
   12.35000000          0      1     13      2    1          2.53151      
   12.35000000          0      1     13      1    2          4.37444      
   12.35000000          0      1     13      2    2          395.066      
   12.40000000          0      1     13      1    1          261.764      
   12.40000000          0      1     13      2    1          1.88990      
   12.40000000          0      1     13      1    2          3.16814      
   12.40000000          0      1     13      2    2          414.120      
   12.45000000          0      1     13      1    1          261.651      
   12.45000000          0      1     13      2    1          1.57687      
   12.45000000          0      1     13      1    2          2.56728      
   12.45000000          0      1     13      2    2          445.577      
   12.50000000          0      1     13      1    1          261.350      
   12.50000000          0      1     13      2    1          1.32028      
   12.50000000          0      1     13      1    2          2.08984      
   12.50000000          0      1     13      2    2          433.435      
   12.55000000          0      1     13      1    1          261.054      
   12.55000000          0      1     13      2    1          1.09256      
   12.55000000          0      1     13      1    2          1.68303      
   12.55000000          0      1     13      2    2          393.445      
   12.60000000          0      1     13      1    1          260.741      
   12.60000000          0      1     13      2    1         0.928691      
   12.60000000          0      1     13      1    2          1.39353      
   12.60000000          0      1     13      2    2          360.006      
   12.65000000          0      1     13      1    1          260.400      
   12.65000000          0      1     13      2    1         0.817500      
   12.65000000          0      1     13      1    2          1.19595      
   12.65000000          0      1     13      2    2          337.656      
   12.70000000          0      1     13      1    1          260.042      
   12.70000000          0      1     13      2    1         0.740974      
   12.70000000          0      1     13      1    2          1.05770      
   12.70000000          0      1     13      2    2          322.804      
   12.75000000          0      1     13      1    1          259.677      
   12.75000000          0      1     13      2    1         0.687097      
   12.75000000          0      1     13      1    2         0.957744      
   12.75000000          0      1     13      2    2          312.611      
